CODPROV,CODIGO,PRODUCTO,PRESENTACION,STOCK,MAYORISTA,CONTADO,MINORISTA,PRECIO COMPRA,RUBRO,SUBRUBRO
NM51002269,0002647RPM,ANTENA IAEL NM51002269,UNIDADES,0,"8607,45","9755,11","13657,15","5738,3",ACCESORIOS,NINGUNO
YH-6959,0002233RPM,ANTENA IMITACION BMW PLATA,,0,"6418,95","7274,81","10184,73","4279,3",,
AA-025,0006442RPM,ANTENA IMITACION COLA TIBURON NEGRA,UNIDADES,1,"5658,81",6000,8400,"3328,71",ACCESORIOS,NINGUNO
AA-012 / 2282I,0000439RPM,ANTENA IMITACION GOL ADHESIVA.,UNIDADES,7,"5626,5",6000,8400,3630,ACCESORIOS,NINGUNO
AA-008N,0002260RPM,ANTENA LATIGO 2 M NEGRA,UNIDADES,1,12705,"13499,99","18899,99",8470,ACCESORIOS,NINGUNO
AA-031,0007826RPM,ANTENA MASTIL CROMADO,UNIDADES,3,"4755,3","5499,98","7700,1","3170,2",ACCESORIOS,NINGUNO
AA-030,7798160622691,ANTENA MASTIL GOMA CORTO UNIVERSAL,UNIDADES,6,"6458,5","6999,8","9799,96","4036,56",ACCESORIOS,NINGUNO
ANT-142,0007189RPM,ANTENA MASTIL STRONG,UNIDADES,0,11520,13056,"18278,4",7680,ACCESORIOS,NINGUNO
JBA-331,0000994RPM,ANTENA TECHO 40 CM,,0,"11517,41","13053,06","18274,28","7678,27",,
8065,0004686RPM,ANTENA TECHO DE ALUMINIO CORTA LYF-ROJO,UNIDADES,3,4840,"5500,06","7700,14",3025,ACCESORIOS,NINGUNO
JM-6163,4710164626140,ANTENA TECHO IMITACION CROMADA,UNIDADES,0,"6418,95","7274,81","10184,73","4279,3",ACCESORIOS,NINGUNO
,4710164620810,ANTENA TIPO BMW GRIS/CROMADA,UNIDADES,0,"6418,95","7274,81","10184,73","4279,3",ACCESORIOS,NINGUNO
AA-017,0002649RPM,ANTENA TIPO ORIGINAL FIAT - RENAULT - PEUGEOT,UNIDADES,2,11616,13100,"18339,99",7260,ACCESORIOS,NINGUNO
AA-018N,0005126RPM,ANTENA TUNING UNIV NEGRO,UNIDADES,7,4963,6000,8400,3545,ACCESORIOS,NINGUNO
AA-027,7798160621984,ANTENA TUNNING CROMADA,UNIDADES,8,"4963,42","6000,07","8399,88","3545,3",ACCESORIOS,NINGUNO
XB-814,0002640RPM,ANTENA TV R SPORTS,,0,"10454,4","11848,32","16587,65","6969,6",,
AA-018G,7798160620024,ANTENA UNIVERSAL TUNNING,UNIDADES,3,4963,6000,8400,3545,ACCESORIOS,NINGUNO
AA-018R,0005557RPM,ANTENA UNIVERSAL TUNNING ROJA,UNIDADES,6,4963,6000,8400,3545,ACCESORIOS,NINGUNO
B12,0001070RPM,ANTIRROBO PARA RUEDAS ALFA ROMEO/FIAT PALIO SIENA MIRAFIORI,UNIDADES,0,23500,26000,33400,16335,ACCESORIOS,NINGUNO
D15,0002736RPM,ANTIRROBO PARA RUEDAS CITROEN BERLINGO BX XM ZX AX CX SAXO XANTIA XSARA/PEUGEOT(205/206/306/405 /PARTNER) CITR(BERLINGO/ HASTA2002),UNIDADES,0,23500,26000,33400,16335,ACCESORIOS,NINGUNO
C13,0001074RPM,ANTIRROBO PARA RUEDAS FIAT DUCATO/PEUGEOT BOXER/RENAULT MASTER,UNIDADES,0,23500,26000,33400,16335,ACCESORIOS,NINGUNO
B4,0001087RPM,ANTIRROBO PARA RUEDAS PEUG(PARTNER/106/205/206/306/307/309/405/406) ALFA ROMEO/CITROEN(AX/BX/CX/BERLINGO/SAXO)FIAT(UNO/BRAVO/FIORINO/PALIO/SIENA/PUNTO,UNIDADES,0,23500,26000,36400,16335,ACCESORIOS,NINGUNO
D16,0001073RPM,ANTIRROBO PARA RUEDAS PEUGEOT 206 306 405 PARTNER,UNIDADES,0,23500,26000,33400,16335,ACCESORIOS,NINGUNO
D17,0001086RPM,ANTIRROBO PARA RUEDAS PEUGEOT 307,UNIDADES,0,23500,26000,33400,16335,ACCESORIOS,NINGUNO
B21,0004169RPM,ANTIRROBO PARA RUEDAS QUBO - CINQUECENTO (500),UNIDADES,0,23500,26000,33400,16335,ACCESORIOS,NINGUNO
D11,0001076RPM,ANTIRROBO PARA RUEDAS VW(TRANSPORTER)ALEKO/PEUGEOT(EXPERT)SAAB(9000)RENAULT(LAGUNA/MEGANE),UNIDADES,0,23500,26000,33400,16335,ACCESORIOS,NINGUNO
RR-001,0004372RPM,ANTIRROBO RUEDA (C10/SILVERADO)DODGE CHRYSLER FORD(KA/RANGER)RASTROJERO TORINO VOLVO VW(1500/1800)SAAB,UNIDADES,2,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-006,0004371RPM,"ANTIRROBO RUEDA /ASTRA AGILE CORSA MERIVA VECTRA,ECOSPORT 4X4 ,ESCORT,FUN,LOGAN SANDERO,SYMBOL,FUN,CLIO,BORA, FOX, VENTO, VOYAGE, SURAN, GOL, GOLF,",UNIDADES,2,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-010,0006136RPM,ANTIRROBO RUEDA 4 BULONES CON DOS ADAPTADORES /MERCEDES BENZ / SPRINTER /AMAROK,UNIDADES,6,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-009,0006135RPM,ANTIRROBO RUEDA 4 BULONES CON DOS ADAPTADORES FORD RENAULT VW AUDI PEUGEOT MERCEDES BENZ,UNIDADES,5,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-011,0007774RPM,ANTIRROBO RUEDA 4 BULONES CON DOS ADAPTADORES PEUGEOT CITROEN,UNIDADES,6,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-003,0004370RPM,"ANTIRROBO RUEDA ECOSPORT 2007/20, BLAZER, AVEO, CAPTIVA, LUV, S10, COURIER, FIESTA, FOCUS, KA, MONDEO, ACCORD, CITY, CIVIC, CRV, CRX, FIT, HRV, POINTE",UNIDADES,3,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-008,0005412RPM,ANTIRROBO RUEDA FIAT(ADVENTURE/IDEA/LINEA/PUNTO/STILO/STRADA),UNIDADES,3,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-002,0004367RPM,"ANTIRROBO RUEDA HILUX/4 HONDA(CITY/CIVIC/CRV/CRX/FIT/HRV) FORD(COURIER/KA/MONDEO/ESCORT/ECOSPORT/FIESTA/FOCUS/TRANSIT 14"") VW(POINTER) CHE(AVEO/VECTR",UNIDADES,3,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-004,0004373RPM,ANTIRROBO RUEDA KORANDO VITARA PEUGET 504 505 SWIFT VITARA JIMMY TIIDA FRONTIER R 12,UNIDADES,2,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-007,0004362RPM,ANTIRROBO RUEDA PALIO SIENA ALFA ROMEO SUD 33 145 146 155 164 166,UNIDADES,2,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-005,0004374RPM,"ANTIRROBO RUEDA PEUGEOT ALFA ROMEO CITROEN FIAT SEAT LANCIA VOLVO LADA PEUGEOT 205,206,306,307,309,405,406,",UNIDADES,5,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
RR-012,0007827RPM,ANTIRROBO RUEDA TOYOTA HILUX COROLLA RAV4 SPRINTER ETIOS SW4 YARIS TIGGO ( HASTA 2016) PEUGEOT 4008,UNIDADES,6,"20557,5",23000,32200,13705,ACCESORIOS,NINGUNO
SP-41202-04C,0000053RPM,APLIQUE CROMADO (GUIÑO) X2 FORD FOCUS,UNIDADES,1,4840,5000,7000,2420,CROMADOS,NINGUNO
IC-VW-5474,0000038RPM,APLIQUE CROMADO ARO PALANCA DE CAMBIOS FOX,UNIDADES,2,18000,20000,28000,12000,CROMADOS,NINGUNO
FC-FO-2162,FC'FO'2162,APLIQUE CROMADO FARO AUX RANGER 2012/2015,UNIDADES,1,18000,20000,28000,12000,ACCESORIOS,NINGUNO
FC-FO-2117,FC'FO'2117,APLIQUE CROMADO FARO AUXILIAR FIESTA 2008/2010.,UNIDADES,1,18000,20000,28000,12000,ACCESORIOS,NINGUNO
FC-FO-2116,0000629RPM,APLIQUE CROMADO FARO AUXILIAR KA 08/11,UNIDADES,1,18000,20000,28000,12000,CROMADOS,NINGUNO
FC-CH-6434,FC'CH'6434,APLIQUE CROMADO FARO AUXILIAR ONIX / PRISMA 2013/...,UNIDADES,2,18000,20000,28000,12000,ACCESORIOS,NINGUNO
FC-CH-6424,FC-CH-6424,APLIQUE CROMADO FARO AUXILIAR S10 2012/2016,UNIDADES,4,18000,20000,28000,12000,CROMADOS,NINGUNO
FC-TO-7478,FC'TO'7478,APLIQUE CROMADO FARO AUXILIAR TOYOTA HILUX 2005/2015,UNIDADES,1,18000,20000,28000,12000,ACCESORIOS,NINGUNO
JRFAR732,0003878RPM,APLIQUE CROMADO FAROS AUXILIARES PEUGEOT 206 X2,UNIDADES,2,18000,20000,28000,12000,CROMADOS,NINGUNO
JRFAR713,0005728RPM,APLIQUE CROMADO FAROS TRASEROS GOL GIII 00/05,UNIDADES,1,18000,20000,28000,12000,CROMADOS,NINGUNO
JRE348MA,0000955RPM,APLIQUE CROMADO MARCO DE ESPEJO GOL GV (TREND) X2,UNIDADES,1,18000,20000,28000,12000,ACCESORIOS,NINGUNO
IC-VW-5473,0000107RPM,APLIQUE CROMADO P/MOLDURA DE PANEL INTERIOR FOX,UNIDADES,4,7865,8000,11200,6050,ACCESORIOS,NINGUNO
DB-190,0000110RPM,APLIQUE CROMADO P/PARRILLA PEUGEOT 206/207,UNIDADES,2,16800,18000,25200,12000,ACCESORIOS,NINGUNO
RC-VW-5516,0000622RPM,APLIQUE CROMADO P/PARRILLA SUP. GOL V TREND / VOYAGE / SAVEIRO ( 2 PIEZAS),UNIDADES,1,18000,20000,28000,12000,ACCESORIOS,NINGUNO
IC-FO-2102,0000623RPM,APLIQUE CROMADO PARA REJILLA DE VENTILACION FIESTA/ECOSPORT I VIEJA,UNIDADES,1,9801,10000,14000,7260,ACCESORIOS,NINGUNO
IC-SZ-7455,0000104RPM,APLIQUE CROMADO PARA REJILLA DE VENTILACION SUZUKI FUN,UNIDADES,3,9801,10000,14000,7260,CROMADOS,NINGUNO
VA-061,0003736RPM,APLIQUE ESCAMAS CROMADAS X6,UNIDADES,-1,"7967,85",8500,11900,"5311,9",ACCESORIOS,NINGUNO
DB-197,0006138RPM,APLIQUES PARRILLA CROMADA HILUX +2016 7PCS,UNIDADES,0,"114919,75",119000,166600,79255,ACCESORIOS,NINGUNO
VA-059N,0003741RPM,"APOYA BRAZO ANGOSTO CON PORTA OBJETOS NEGRO, C/POSA VASO",UNIDADES,0,"34757,25",37100,51940,"23171,5",ACCESORIOS,NINGUNO
VA-091N,0006811RPM,APOYA BRAZO CON PORTA OBJETOS NEGRO ECOSPORT,UNIDADES,0,"57886,4",61500,"86099,99",36179,ACCESORIOS,NINGUNO
VA-039N,0003742RPM,"APOYA BRAZO CON PORTA OBJETOS NEGRO, C/POSA VASO",UNIDADES,0,"36797,31","38999,99","54599,99","23740,2",ACCESORIOS,NINGUNO
VA-088N,0006810RPM,APOYA BRAZO NEGRO REBATIBLE CON PORTA OBJETOS DUSTER OROCH,UNIDADES,0,"57886,4",61500,"86099,99",36179,ACCESORIOS,NINGUNO
VA-072N,0005117RPM,"APOYA BRAZO NEGRO REBATIBLE CON PORTA OBJETOS, T/ORIGINAL",UNIDADES,0,"37171,2",39500,55300,23232,ACCESORIOS,NINGUNO
,0006660RPM,APOYA PIE PEDAL DE DESCANSO GRANDE ALUMINIO,UNIDADES,0,11700,12500,17500,7800,ACCESORIOS,NINGUNO
,0004708RPM,APOYA VASO CON AGARRE VENTILACION,UNIDADES,0,0,0,0,0,ACCESORIOS,NINGUNO
VA-045,0000415RPM,ARAÑA CROMADA AUTOADHESIVA,UNIDADES,0,"8439,75",9300,13020,5445,CROMADOS,NINGUNO
6790,6790,ARANDELAS ALUMINIO X 10,UNIDADES,0,6000,"6999,99","9799,99",3861,ACCESORIOS,NINGUNO
6209,6209,ARCILLA CLAYBAR 180 GR,UNIDADES,0,"5333,68","5900,15","8259,85","3678,4",COSMETICA,NINGUNO
7781,0007861RPM,"ARO ADAPTADOR DE 5X7"" A 5""",UNIDADES,10,3500,"4000,07","5599,99",1763,FRENTE ADPTADOR,NINGUNO
8289,0004972RPM,ARO ADAPTADOR DEL 5 1/4 CELTA PRISMA,UNIDADES,10,3500,4000,"5599,9",2170,FRENTE ADPTADOR,NINGUNO
7967,7898253494713,ARO ADAPTADOR SUPLEMENTO (MARCO) PARA PARLANTE 6X9 C/U S1,UNIDADES,10,12750,"14500,15","20299,7",8500,AUDIO,NINGUNO
7489,0001445RPM,"ARO ADAPTADOR SUPLEMENTO (MARCO) PARA PARLANTE P/ 6"" S2",UNIDADES,8,8235,"9399,98","13160,08",5490,PARLANTES,NINGUNO
SENS RESP,0007221RPM,AROMASS CUADRADO REPUESTO SENSATIONS,UNIDADES,0,3146,3500,4900,1936,ACCESORIOS,NINGUNO
7618,0007618RPM,AROMATIZANTE BUBBLE GUM TOXIC SHINE,UNIDADES,3,"3980,9",4300,6020,"2843,5",ACCESORIOS,NINGUNO
7622,0007643RPM,AROMATIZANTE CHAMPAK TOXIC SHINE,UNIDADES,2,"3980,9",4300,6020,"2843,5",ACCESORIOS,NINGUNO
7617,0007617RPM,AROMATIZANTE DARK SECRET TOXIC SHINE,UNIDADES,2,"3980,9",4300,6020,"2843,5",ACCESORIOS,NINGUNO
7621,0007642RPM,AROMATIZANTE LIMON TOXIC SHINE,UNIDADES,4,"3980,9",4300,6020,"2843,5",ACCESORIOS,NINGUNO
7620,0007641RPM,AROMATIZANTE UVA TOXIC SHINE,UNIDADES,1,"3980,9",4300,6020,"2843,5",ACCESORIOS,NINGUNO
7619,0007619RPM,AROMATIZANTE VAINILLA TOXIC SHINE,UNIDADES,0,"3980,9",4300,6020,"2843,5",ACCESORIOS,NINGUNO
AR-007,0005035RPM,ASIENTO Y RESPALDO BOLITA BORDE NEGRO,UNIDADES,-1,25773,"27499,79","38499,71",17182,ACCESORIOS,NINGUNO
AR-009,0005034RPM,ASIENTO Y RESPALDO FRESCO ESTERRILLADO NEGRO,UNIDADES,0,15972,17200,24080,10648,ACCESORIOS,NINGUNO
AR-001N,0003748RPM,"ASIENTO Y RESPALDO MASAGGE, MAGNETICO NEGRO",UNIDADES,0,13431,14700,"20579,99",8954,ACCESORIOS,NINGUNO
VA-092,0007332RPM,ASPIRADORA PORTATIL 12V,UNIDADES,0,"7802,08",8600,12040,"5033,6",ACCESORIOS,NINGUNO
VA-085,0006193RPM,ASPIRADORAGRANDE TACHO 12V 120W,UNIDADES,0,"26329,6","28000,01","39200,01",16456,ACCESORIOS,NINGUNO
BOSS,0006876RPM,ATOMIZADOR BOSS TOXIC SHINE 120 ML,UNIDADES,5,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
BUBBLEGUM,0006874RPM,ATOMIZADOR BUBBLEGUM TOXIC SHINE 120 ML,UNIDADES,3,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
CANDY BANANA,0006794RPM,ATOMIZADOR CANDY CARAMELO DE BANANA TOXIC SHINE 120 ML,UNIDADES,1,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
7615,0007615RPM,ATOMIZADOR CHERRY TOXIC SHINE 120 ML,UNIDADES,2,"5446,21",5800,8120,"3890,15",ACCESORIOS,NINGUNO
COFFE,0006797RPM,ATOMIZADOR COFFE TOXIC SHINE 120 ML,UNIDADES,6,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
ENERGYATOM,0007354RPM,ATOMIZADOR ENERGY TOXIC SHINE 120 ML,UNIDADES,8,"5446,21",5800,8120,"3890,15",ACCESORIOS,NINGUNO
,0007070RPM,ATOMIZADOR INVICTUS TOXIC SHINE 120 ML,UNIDADES,3,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
,0007071RPM,ATOMIZADOR LADY TOXIC SHINE 120 ML,UNIDADES,12,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
LEMON MINT,0006971RPM,ATOMIZADOR LEMON MINT FRESH TOXIC SHINE 120 ML,UNIDADES,4,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
MANGOGO,0007543RPM,ATOMIZADOR MANGO GO TOXIC SHINE 120 ML,UNIDADES,2,"5446,21",5800,8120,"3890,15",ACCESORIOS,NINGUNO
NEW CAR,0006795RPM,ATOMIZADOR NEW CAR TOXIC SHINE 120 ML,UNIDADES,3,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
PARTY,0006798RPM,ATOMIZADOR PARTY SUMMER TOXIC SHINE 120 ML,UNIDADES,4,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
,0007069RPM,ATOMIZADOR ROCKET POWER TOXIC SHINE 120 ML,UNIDADES,2,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
7616,0007616RPM,ATOMIZADOR SNEAKERS TOXIC SHINE 120 ML,UNIDADES,3,"5446,21",5800,8120,"3890,15",ACCESORIOS,NINGUNO
SWEET FRUTY,0006796RPM,ATOMIZADOR SWEET FRUTY TOXIC SHINE 120 ML,UNIDADES,5,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
UVA,0006875RPM,ATOMIZADOR UVA TOXIC SHINE 120 ML,UNIDADES,2,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
,0007072RPM,ATOMIZADOR WANAWE TOXIC SHINE 120 ML,UNIDADES,5,"5446,21",5800,8120,"3890,15",COSMETICA,NINGUNO
AC-5131,0005455RPM,AUDIO CONTROL ECU SOUNDIGITAL,UNIDADES,1,40000,"39999,96","55999,58",9100,AUDIO,NINGUNO
S-72,5606868131310,AURICULARES BOSE BLANCOS C/ROJO,UNIDADES,0,"171,6","608,86","852,4","88,94",ACCESORIOS,NINGUNO
XT-01,6941684561088,AURICULARES INALAMBRICO BT,UNIDADES,0,2500,"5174,4","7244,16","1477,41",ACCESORIOS,NINGUNO
TS1984288AS,0007614RPM,BACK TO BLACK TOXIC SHINE 600 ML (REVITALIZADOR DE SUPERFICIES PLATICAS PARA AUTO),UNIDADES,0,"12112,1",13000,18200,"8651,5",ACCESORIOS,NINGUNO
6589,BACKING 3,"BACKING PLATE 3"" PLATO PARA PAD ECONOMICO",UNIDADES,0,2880,3072,"4300,8",1920,COSMETICA,NINGUNO
6004,0006881RPM,"BACKING PLATE 5"" PLATO PARA PAD ECONOMICO",UNIDADES,0,9288,"9907,2","13870,08",6192,COSMETICA,NINGUNO
4450,0007414RPM,"BACKING PLATE 5"" PLATO PARA PAD ULTRA BLANDO",UNIDADES,0,5616,"5990,4","8386,56",3744,COSMETICA,NINGUNO
7477,0007477RPM,"BACKING PLATE 5"" PLATO PERFORADO AUTOCARE",UNIDADES,0,10080,"10999,97","15400,22",6720,COSMETICA,NINGUNO
125ML,0007742RPM,BACTERIAL REMOVER DROP D,UNIDADES,6,3125,3500,4900,2500,COSMETICA,NINGUNO
6577,0006903RPM,BAJO CHASIS LED RGB APP,UNIDADES,0,7000,10640,14896,2800,ACCESORIOS,NINGUNO
6703,0007286RPM,BAJO CHASIS LED RGB CON CONTROL ST-LGH60CAR,UNIDADES,3,21000,"22999,74","32199,92",14200,ACCESORIOS,NINGUNO
6690,0007546RPM,BALASTRO INVERTER PARA OJO DE ANGEL (UNIDAD),UNIDADES,0,3600,6300,8820,1800,ACCESORIOS,NINGUNO
SG-011 SG-010,0003760RPM,BALIZA REFLECTIVA C/ESTUCHE,UNIDADES,5,"10138,59","10999,69","15399,84","6759,06",SEGURIDAD,NINGUNO
