CODPROV,CODIGO,PRODUCTO,PRESENTACION,STOCK,MAYORISTA,CONTADO,MINORISTA,PRECIO COMPRA,RUBRO,SUBRUBRO
ST-C15,0005957RPM,CAMARA DE RETROCESO STRONG SIN INSTALAR,UNIDADES,0,21000,22400,"31360,01",14000,SEGURIDAD,NINGUNO
ST-C24,0006588RPM,CAMARA DE RETROCESO STRONG SIN INSTALAR,UNIDADES,0,21900,24000,"33600,01",14600,ACCESORIOS,NINGUNO
ST-C26,0007192RPM,CAMARA DE RETROCESO STRONG SIN INSTALAR,UNIDADES,0,30000,32000,44800,20000,ACCESORIOS,NINGUNO
ST-C18DVR,0006587RPM,CAMARA STRONG HD/DVR PANT 1.5 SIN INSTALAR,UNIDADES,1,38000,40000,"56000,16",4800,ACCESORIOS,NINGUNO
TS0010500CC,0006766RPM,CANDY CREAM TOXIC SHINE ACONDICIONADOR DE PLASTICOSY GOMAS EXTERIOR A BASE ACUOSA 600 ML,UNIDADES,1,"10651,87",11500,"16100,01","7608,48",COSMETICA,NINGUNO
,0007364RPM,CANGURO PALANCA CAMBIO ARGENTINA,UNIDADES,0,1800,3080,4312,900,ACCESORIOS,NINGUNO
CCA 5,0004427RPM,CAÑO CORRUGADO ABIERTO DE 12 A 16 MM,UNIDADES,0,750,"849,99","1189,99","559,02",ELECTRICIDAD,NINGUNO
CCA 7,0004428RPM,CAÑO CORRUGADO ABIERTO DE 16 A 20 MM,UNIDADES,0,900,1000,1400,"665,5",ELECTRICIDAD,NINGUNO
CCA 9,0004429RPM,CAÑO CORRUGADO ABIERTO DE 20 A 25 MM,UNIDADES,0,1250,1400,"1956,57","931,7",ELECTRICIDAD,NINGUNO
CCA 11,0000842RPM,CAÑO CORRUGADO ABIERTO DE 25 A 30 MM,UNIDADES,0,"1730,3",2000,"2795,1",1331,ELECTRICIDAD,NINGUNO
CCA 13,0007640RPM,CAÑO CORRUGADO ABIERTO DE 36 A 42 MM,UNIDADES,0,2500,2800,"3913,14","1863,4",ELECTRICIDAD,NINGUNO
CCA 3,0000841RPM,CAÑO CORRUGADO ABIERTO DE 8 A 12 MM,UNIDADES,0,700,800,1120,"532,4",ELECTRICIDAD,NINGUNO
533 C - A,0005932RPM,CAÑO ELÍPTICO P/BARRAS AERODYNAMIC NEGRO 0.90M (C-A),UNIDADES,0,"654,95","1317,26","1844,16","300,71",EQUIPAMIENTO 4X4,NINGUNO
535 C - C,0005934RPM,CAÑO ELÍPTICO P/BARRAS AERODYNAMIC NEGRO 1.10M,UNIDADES,0,"685,2","1378,24","1929,54","314,6",EQUIPAMIENTO 4X4,NINGUNO
C - D,0005952RPM,CAÑO ELÍPTICO P/BARRAS AERODYNAMIC NEGRO 1.20M,UNIDADES,0,"724,73","1463,62","2049,07","332,75",ACCESORIOS,NINGUNO
1664 C - H,0005940RPM,CAÑO ELÍPTICO P/BARRAS AERODYNAMIC NEGRO 1.5M (C-H),UNIDADES,0,"830,15","1670,98","2339,37","381,15",EQUIPAMIENTO 4X4,NINGUNO
534 C - B,0005933RPM,CAÑO ELÍPTICO P/BARRAS AERODYNAMIC NEGRO 1M (C - B),UNIDADES,2,"654,95","1317,26","1844,16","300,71",EQUIPAMIENTO 4X4,NINGUNO
537 CP-A,0001138RPM,CAÑO ELÍPTICO P/BARRAS AERODYNAMIC PLATA 0.90M (CP-A),UNIDADES,8,"792,22","1646,57","2305,2","375,1",EQUIPAMIENTO 4X4,NINGUNO
538 CP-B,0001139RPM,CAÑO ELÍPTICO P/BARRAS AERODYNAMIC PLATA 1M (CP-B),UNIDADES,4,"816,97","1646,57","2305,2","375,1",EQUIPAMIENTO 4X4,NINGUNO
5213,0002610RPM,CAÑO NYLON PARA INSTRUMENTAL DE ACEITE,UNIDADES,0,"237,6","487,87","683,02","20,06",ACCESORIOS,NINGUNO
B52-DPF12,0001284RPM,CAPACITOR DE POTENCIA 12 FARADIOS B52,UNIDADES,0,5775,"12197,05","17075,87",3500,AUDIO,NINGUNO
CAP250/3.3UF,0004185RPM,CAPACITOR DRIVER O TWEETER 3.3 UF 250V,UNIDADES,45,2000,"2599,96",3640,1302,AUDIO,NINGUNO
CAP250/4.7UF,0004394RPM,CAPACITOR DRIVER O TWEETER 4.7UF X 250V,UNIDADES,20,2703,"3600,04","5040,01",1802,AUDIO,NINGUNO
CAP250/2.2UF,0006144RPM,CAPACITOR DRIVER O TWEETER 2.2 UF / 250V,UNIDADES,27,1800,2400,"3360,03",1156,AUDIO,NINGUNO
ST-CARC4,0007248RPM,CARCASA CONTROL PST KEY BLANCOS MODELOS VIEJOS,UNIDADES,3,"10083,2",11500,16100,6302,AUDIO,NINGUNO
ST-CARC2,0007247RPM,CARCASA CONTROL PST PX32 PX33,UNIDADES,6,"10083,2",11500,16100,6302,AUDIO,NINGUNO
ST-CARC1,0007249RPM,CARCASA CONTROL PST PX42 PX44,UNIDADES,2,"10083,2",11500,16100,6302,AUDIO,NINGUNO
ST-CARC5,0007250RPM,CARCASA CONTROL PST PXN52 DPN52,UNIDADES,2,"10083,2",11500,16100,6302,AUDIO,NINGUNO
M506A,0007567RPM,CARCASA LLAVE CHEVROLET 2 BOTONES,UNIDADES,0,"12329,66",13000,18200,"6664,68",ACCESORIOS,NINGUNO
KS15F+,0007481RPM,CARCASA LLAVE CHEVROLET 3 BOTONES,UNIDADES,0,"10454,4","12000,01","16800,02",5808,ACCESORIOS,NINGUNO
MS15,0007564RPM,CARCASA LLAVE CHEVROLET CRUZE NAVAJA 3 BOTONES,UNIDADES,0,"12349,26",13000,18200,"6860,7",ACCESORIOS,NINGUNO
KS01,0007480RPM,CARCASA LLAVE CITROEN Y PEUGEOT 2 BOTONES,UNIDADES,1,"10585,08","12000,01","16800,02","5880,6",ACCESORIOS,NINGUNO
KS05NAVAJA,0007478RPM,CARCASA LLAVE PEUGEOT NAVAJA 2 BOTONES,UNIDADES,1,"11290,75",13000,18200,"6272,64",ACCESORIOS,NINGUNO
KS41C,0007569RPM,CARCASA LLAVE RENAULT DUSTER OROCH 2 BOTONES,UNIDADES,5,"13378,37",14000,19600,"7644,78",ACCESORIOS,NINGUNO
KS05A SANDERO,0007479RPM,CARCASA LLAVE RENAULT SANDERO CLIO 2 BOTONES,UNIDADES,0,"10585,08","12000,01","16800,02","5880,6",ACCESORIOS,NINGUNO
KS46I,0007568RPM,CARCASA LLAVE VW NAVAJA 2 BOTONES,UNIDADES,3,"13895,64","14999,99","20999,99","8421,6",ACCESORIOS,NINGUNO
KS46G,0007565RPM,CARCASA LLAVE VW NAVAJA 3 BOTONES,UNIDADES,0,"13895,64","14999,99","20999,99","8421,6",ACCESORIOS,NINGUNO
7731,0007191RPM,CARGADOR 12V 55W PANEL 3 USB,UNIDADES,0,6000,"6999,94","9799,84","3605,8",ACCESORIOS,NINGUNO
DX-AUT-3.1-TC,0007105RPM,CARGADOR USB DINAX 3.1AMP TIPO C,UNIDADES,5,2580,"3000,02","4199,98",1290,ACCESORIOS,NINGUNO
CARNAUBA CERA,0006970RPM,CARNAUBA PURE WAX TOXIC SHINE CERA EN PASTA CARNAUBA,UNIDADES,1,"24322,82","25223,66","35313,12","18016,9",COSMETICA,NINGUNO
7646,0005049RPM,CARTEL TAXI LED,UNIDADES,-1,"765,6","1463,62","2049,07",300,ACCESORIOS,NINGUNO
TS6792031DF,0007612RPM,CAUCHO PARA CUBIERTA DARK FLUID TOXIC SHINE 600 ML,UNIDADES,0,"6811,7",7500,"10595,97","5045,7",ACCESORIOS,NINGUNO
TSM999001GS,0007216RPM,CAUCHO PARA CUBIERTA GELSHINE TOXIC SHINE GEL DE BRILLO INTENSO 250 ML,UNIDADES,2,"15860,92","16999,51","23800,45","11329,23",ACCESORIOS,NINGUNO
TS0010100GS,0006761RPM,CAUCHO PARA CUBIERTAS GELSHINE TOXIC SHINE GEL DE BRILLO INTENS 600 ML,UNIDADES,2,"29772,05",32200,45080,"21265,75",COSMETICA,NINGUNO
VA-063,0000423RPM,CENICERO TACHITO CON TAPA,UNIDADES,0,"7860,16",8300,"11620,01","4912,6",ACCESORIOS,NINGUNO
YC-550,0000621RPM,CENTRAL 4 CH C/CONTROL REMOTO,,0,0,"3291,68","4608,35",0,ELECTRICIDAD,NINGUNO
CENTRAL-EX360,0005821RPM,CENTRAL PARA ALARMA PST EX360 (AUTO),UNIDADES,-2,0,0,0,0,ALARMA,NINGUNO
CENTRAL-Z30/40/50,0005880RPM,CENTRAL PARA ALARMA X28 LINEA Z30 / Z40 / Z50 (AUTO),UNIDADES,0,0,"4756,75","6659,45",0,ALARMA,NINGUNO
,0000208RPM,CENTRALES P/ALARMAS PST,UNIDADES,0,0,0,0,0,ALARMA,NINGUNO
7575,0007575RPM,CEPILLO ALCANTARA INTERIOR GAMUZA,UNIDADES,0,2808,4200,"5880,1",1755,COSMETICA,NINGUNO
3550,0007413RPM,CEPILLO CERDAS BLANCA (INTERIOR) UNIDAD,UNIDADES,0,700,"1050,01","1470,01",355,ACCESORIOS,NINGUNO
LM-026,0007230RPM,CEPILLO CORTO PARA LLANTAS IAEL,UNIDADES,-1,"2967,53",3200,4480,"1978,35",COSMETICA,NINGUNO
6800,6800,CEPILLO DAYTONA LLANTAS,UNIDADES,0,"5652,5",6000,8400,3230,COSMETICA,NINGUNO
7571,0007571RPM,CEPILLO DE GOMA SACAPELO OVALADO,UNIDADES,0,5850,"8820,08","12347,79",3900,COSMETICA,NINGUNO
DM-117,0007572RPM,CEPILLO DE GOMA SACAPELO TRIANGULO,UNIDADES,0,3657,"5461,12","7645,57",2438,COSMETICA,NINGUNO
7375,0007375RPM,CEPILLO DE MICROFIBRA,UNIDADES,3,10164,11000,"15399,91",7260,COSMETICA,NINGUNO
6785,6785,CEPILLO MANGO CORTO PASARUEDAS AZUL,UNIDADES,0,1350,2233,"3126,2",900,COSMETICA,NINGUNO
6786,6786,CEPILLO MANGO LARGO PASARUEDAS AZUL,UNIDADES,0,8954,"9400,01","13160,01",4840,COSMETICA,NINGUNO
,0006079RPM,CEPILLO MEGANE LAVA COCHE,UNIDADES,0,2750,3000,"4199,99",250,COSMETICA,NINGUNO
7574,0007574RPM,CEPILLO MICROFIBRA REJILLAS DE AIRE,UNIDADES,0,"6600,01",7000,9800,4000,COSMETICA,NINGUNO
AJ31,AJ31,CEPILLO PARA LLANTAS Y NEUMATICOS,UNIDADES,0,5400,5800,8120,3600,COSMETICA,NINGUNO
9874,9874,CEPILLO TALADRO KIT X 3,UNIDADES,0,13000,14900,"20815,87","9292,8",ACCESORIOS,NINGUNO
39526,51131395268,CERA ACRILICA EN PASTA 3M (LATA) X 297.7G,UNIDADES,0,2508,"8752,42","12253,39","1639,55",COSMETICA,NINGUNO
TS0990999MS,0006777RPM,CERA CREMA TOXIC SHINE MYSTIC SEAL RESALTA Y BRILLO DE LA PINTURA 600 ML,UNIDADES,1,"8568,25","9200,01","12880,01","6120,18",COSMETICA,NINGUNO
TS3297735WM,0006787RPM,CERA EN CREMA TOXIC SHINE WATERMELON 600 ML,UNIDADES,1,"14822,5","15900,01","22260,01","10587,5",ACCESORIOS,NINGUNO
39006S,51131390065,CERA LIMPIADORA 2 EN 1 3M 473 ML,UNIDADES,0,"421,9","1739,28","2434,99","239,72",COSMETICA,NINGUNO
TS0216773CQ,0006736RPM,CERA LIQUIDA CHERRY QUICK TOXIC SHINE QUICK DETAILER 600 ML,UNIDADES,1,"6276,27","6799,99","9519,99","4483,05",COSMETICA,NINGUNO
TS00450140ED,0006737RPM,CERA LIQUIDA EXTREME DETAIL TOXIC SHINE QUICK DETAILER,UNIDADES,1,"6692,99",7200,10080,"4780,71",COSMETICA,NINGUNO
32971,0007871RPM,CERA LIQUIDA LAVISH TOXIC SHINE HYBRID WAX 600 ML,UNIDADES,0,"14610,75","15499,92","21700,09","10436,25",COSMETICA,NINGUNO
32812,0007802RPM,CERA LIQUIDA LUXURY TOXIC SHINE CARNAUBA BLEND 600 ML,UNIDADES,2,10100,11000,"15399,7","7459,65",COSMETICA,NINGUNO
BOSSSHINE,0006741RPM,CERA LIQUIDA THE BOSS SHINE TOXIC SHINE 600 ML,UNIDADES,1,8500,9500,13300,"6267,8",COSMETICA,NINGUNO
CH-010,0004666RPM,CHALECO REFLECTIVO REGLAMENTARIO AMARILLO O NARANJA,UNIDADES,0,"4234,03",4800,6720,"2646,27",ACCESORIOS,NINGUNO
VA-047,0006639RPM,CIERRE CENTRALIZADO UNIVERSAL 4 PUERTAS,UNIDADES,-1,"26716,8",80000,112000,16698,ACCESORIOS,NINGUNO
GCL-4R,8412,CIERRE CENTRALIZADO UNIVERSAL CON CONTROL REMOTO GUARTEX,UNIDADES,0,25410,"30800,31","43119,08",16940,SEGURIDAD,NINGUNO
K100,0001395RPM,CIERRE CENTRALIZADO X-28 K100 DUCATO/PALIO/STRADA/KA/FUN ANTERIOR AL 2008,UNIDADES,0,"19582,66","22030,49","30842,68","12239,16",CIERRES CENTRALIZADOS,NINGUNO
K115,0001096RPM,CIERRE CENTRALIZADO X-28 K115 SUZUKI FUN 2 PTAS -07,UNIDADES,0,48960,55080,77112,30600,CIERRES CENTRALIZADOS,NINGUNO
K120,0001293RPM,CIERRE CENTRALIZADO X-28 K120 IDEA/PALIO/ADVENTURE/WEEKEND/SIENA/UNO/ECOSPORT/FIESTA/MAX/FUN/,UNIDADES,0,"57266,88","64425,24","90195,34","35791,8",CIERRES CENTRALIZADOS,NINGUNO
K160,0001394RPM,CIERRE CENTRALIZADO X-28 K160 LOGAN/SANDERO/SYMBOL,UNIDADES,0,"122432,64","137736,72","192831,41","76520,4",CIERRES CENTRALIZADOS,NINGUNO
K164,0001095RPM,CIERRE CENTRALIZADO X-28 K164 CLIO II ANCLAJE DE CHAPA,UNIDADES,0,48960,55080,77112,30600,CIERRES CENTRALIZADOS,NINGUNO
K173,0000663RPM,CIERRE CENTRALIZADO X-28 K173 FIESTA 4P,UNIDADES,0,"92153,6","103672,8","145141,92",57596,CIERRES CENTRALIZADOS,NINGUNO
K190,0001294RPM,CIERRE CENTRALIZADO X-28 K190 CORSA CLASSIC.../2008/,UNIDADES,0,"62927,74","70793,71","99111,2","39329,84",CIERRES CENTRALIZADOS,NINGUNO
K192,0001392RPM,CIERRE CENTRALIZADO X-28 K192 AGILE/,UNIDADES,0,77248,86904,"121665,6",48280,CIERRES CENTRALIZADOS,NINGUNO
K210,0001093RPM,CIERRE CENTRALIZADO X-28 K210 CORSA II 4 PTAS,UNIDADES,0,"37361,7","42031,91","58844,67","23351,06",CIERRES CENTRALIZADOS,NINGUNO
K220,0001094RPM,CIERRE CENTRALIZADO X-28 K220 MERIVA .../07 4 PTAS,UNIDADES,0,"59044,13","66424,64","92994,5","36902,58",CIERRES CENTRALIZADOS,NINGUNO
K232,0004476RPM,CIERRE CENTRALIZADO X-28 K232 S10 4P,UNIDADES,0,"122432,64","137736,72","192831,41","76520,4",CIERRES CENTRALIZADOS,NINGUNO
K250,0001393RPM,CIERRE CENTRALIZADO X-28 K250 206 4P,UNIDADES,0,"75180,8","84578,4","118409,76",46988,CIERRES CENTRALIZADOS,NINGUNO
K260,0003009RPM,CIERRE CENTRALIZADO X-28 K260 FOX/CROSS/SURAN 4P MOD 2010/...,UNIDADES,0,"125065,6","140698,8","196978,32",78166,CIERRES CENTRALIZADOS,NINGUNO
K262,0003903RPM,CIERRE CENTRALIZADO X-28 K262 FOX/SAVEIRO,UNIDADES,0,"63263,46","71171,39","99639,94","39539,66",CIERRES CENTRALIZADOS,NINGUNO
K270,0003010RPM,CIERRE CENTRALIZADO X-28 K270 GOL-FOX (MOTROL) / SAVEI4P,UNIDADES,0,"117166,72","131812,56","184537,58","73229,2",CIERRES CENTRALIZADOS,NINGUNO
K273,0003905RPM,CIERRE CENTRALIZADO X-28 K273 GOL 2 PUERTAS,UNIDADES,0,"63263,46","71171,39","99639,94","39539,66",CIERRES CENTRALIZADOS,NINGUNO
K276,0003904RPM,CIERRE CENTRALIZADO X-28 K276 SAVEIRO/GOL/FOX,UNIDADES,0,"59399,58","66824,53","93554,34","37124,74",CIERRES CENTRALIZADOS,NINGUNO
K278,0001098RPM,CIERRE CENTRALIZADO X-28 K278 GOL POWER/FOX 2 PTAS,UNIDADES,0,"63263,46","71171,39","99639,94","39539,66",CIERRES CENTRALIZADOS,NINGUNO
K280,0001097RPM,CIERRE CENTRALIZADO X-28 K280 FOX 4 PTAS,UNIDADES,0,"95444,8","107375,4","150325,56",59653,CIERRES CENTRALIZADOS,NINGUNO
K290,0003011RPM,CIERRE CENTRALIZADO X-28 K290 GOL TREND/VOYAGE 4P,UNIDADES,0,"103409,5","116335,69","162869,97","64630,94",CIERRES CENTRALIZADOS,NINGUNO
K322,0000248RPM,CIERRE CENTRALIZADO X-28 K322 HILUX 4P,UNIDADES,0,"196813,76","221415,48","309981,67","123008,6",CIERRES CENTRALIZADOS,NINGUNO
K440,0001296RPM,CIERRE CENTRALIZADO X-28 K440 (UNIVERSAL) S10/UNO.../2010/207/PARTNER/CLIO 4 PTAS,UNIDADES,0,"69641,79","78347,02","109685,82","43526,12",CIERRES CENTRALIZADOS,NINGUNO
K420,0003920RPM,CIERRE CENTRALIZADO X-28 KANGOO,UNIDADES,0,"49848,51","56079,58","78511,41","31155,32",CIERRES CENTRALIZADOS,NINGUNO
K285,0005191RPM,CIERRE CENTRALIZADO X-28 VW UP 2 PTS,UNIDADES,0,"81621,76","91824,48","128554,27","51013,6",CIERRES CENTRALIZADOS,NINGUNO
K286,0005192RPM,CIERRE CENTRALIZADOX-28 VW UP 4 PTS,UNIDADES,0,119680,134640,188496,74800,CIERRES CENTRALIZADOS,NINGUNO
904001,0004970RPM,CINTA ANTIDESLIZANTE 3M NEGRA 25MM X 18M,UNIDADES,0,"139,39","586,01","820,41","79,2",ACCESORIOS,NINGUNO
LI-014,0001440RPM,"CINTA DE AMARRE CRIQUET KIT 4 X 1"" X 5 MTS",UNIDADES,2,"43040,91","45999,26","64400,68","28693,94",ACCESORIOS,NINGUNO
LI-011,0000759RPM,"CINTA DE AMARRE CON CRIQUET 1"" X 5 MTS REFORZADA 455KG",UNIDADES,1,10164,10800,15120,"6352,5",ACCESORIOS,NINGUNO
LI-009,0004281RPM,"CINTA DE AMARRE CON CRIQUET 2"" (REFORZADA)",UNIDADES,3,"17145,78",18500,25900,"10716,12",ACCESORIOS,NINGUNO
LI-002,0004352RPM,"CINTA DE AMARRE CON CRIQUET 2"" X 27"" CAMION",UNIDADES,4,30008,33300,"46620,01",18755,ACCESORIOS,NINGUNO
GY-2221,0006447RPM,"CINTA DE AMARRE KIT X 2 CRIQUET 1"" X 5 MTS",UNIDADES,2,"22881,1",24500,34300,14762,ACCESORIOS,NINGUNO
LI-006E,0007430RPM,CINTA DE AMARRE RAPIDO 2 MT X 2.2 CM BLISTER X 2 PZAS 120 KG,UNIDADES,0,"8295,76",8800,12320,"5184,85",ACCESORIOS,NINGUNO
LI-001,0000760RPM,"CINTA DE REMOLQUE CON CRIQUET 1"" 5 MTS 500 LBS (227KG)",UNIDADES,0,"6236,62",6700,9380,"3897,89",ACCESORIOS,NINGUNO
LI-007,7798160620871,"CINTA DE REMOLQUE PLANA 2"" 4 MTS",UNIDADES,2,7260,"8000,04","11199,76",4840,ACCESORIOS,NINGUNO
CA-004,0005111RPM,CINTA DECORATICA DOBLE NEGRA,UNIDADES,0,177,462,"646,8",118,ACCESORIOS,NINGUNO
YD200A,0004647RPM,CINTA DECORATIVA C/PUNTERA (AMARILLO) KING PACIFIC,UNIDADES,-1,177,462,"646,8",118,ACCESORIOS,NINGUNO
YD200AZ,0004648RPM,CINTA DECORATIVA C/PUNTERA (AZUL) KING PACIFIC,UNIDADES,0,"106,5",462,"646,8",71,ACCESORIOS,NINGUNO
CD-BLANCA,0004695RPM,CINTA DECORATIVA C/PUNTERA (BLANCO) KING PACIFIC,UNIDADES,0,177,462,"646,8",118,ACCESORIOS,NINGUNO
YD200,0002732RPM,CINTA DECORATIVA C/PUNTERA (DORADO) KING PACIFIC,UNIDADES,0,177,462,"646,8",118,ACCESORIOS,NINGUNO
YD200G,0004649RPM,CINTA DECORATIVA C/PUNTERA (GRIS) KING PACIFIC,UNIDADES,0,177,462,"646,8",118,ACCESORIOS,NINGUNO
CA-002,0005112RPM,CINTA DECORATIVA DOBLE ROJA,UNIDADES,0,177,462,"646,8",118,ACCESORIOS,NINGUNO
901009,0003338RPM,CINTA DOBLE FAZ (TORTA) 3M SUELTA. POR METRO,UNIDADES,0,350,"739,2","1034,88",100,COSMETICA,NINGUNO
3M63613,51131036093,CINTA DOBLE FAZ 3M INTERIOR 4910 19MM X 5M TRANSPARENTE VHB,UNIDADES,0,2700,4900,6860,1912,ACCESORIOS,NINGUNO
,21200013393,CINTA DOBLE FAZ P/INTERIOR 3M (VERDE C/BLANCO),UNIDADES,0,"354,38","739,2","1034,88","78,75",COSMETICA,NINGUNO
55791-00002,0006854RPM,CINTA DOBLE FAZ TESA ULTRA FUERTE 19 MM 1.5 M,UNIDADES,0,"570,21","1201,2","1681,68","393,25",ACCESORIOS,NINGUNO
3MB,0000683RPM,CINTA REFLECTIVA 3M BLANCA (POR METRO),UNIDADES,"-0,5","15573,6","16499,94","23099,69",11536,ACCESORIOS,NINGUNO
REFLROJA,0000682RPM,CINTA REFLECTIVA 3M ROJA (POR METRO),METROS,"-1,5","23414,4","24999,64","35000,19",17344,ACCESORIOS,NINGUNO
,0003526RPM,CINTA REFLECTIVA TAXI (POR METRO) COLOCADA,UNIDADES,0,198,"570,82","799,15","44,51",ACCESORIOS,NINGUNO
,0003527RPM,CINTA REFLECTIVA TAXI (POR METRO) PARA LLEVAR,METROS,0,"158,4","456,64","639,3","44,51",ACCESORIOS,NINGUNO
CI-003,0000601RPM,CINTURON DE SEGURIDAD DELANTERO C/BASTON HOMOLOGADO 3 PUNTAS AUTO-CAMION (JUEGO) //ALB,UNIDADES,0,"35673,83",38200,53480,"23782,55",ACCESORIOS,NINGUNO
CI-001,0000603RPM,CINTURON DE SEGURIDAD DELANTERO HOMOLOGADO 3 PUNTAS AUTO-CAMION (JUEGO) //ALB,UNIDADES,0,"32945,88",36000,50400,"21963,92",ACCESORIOS,NINGUNO
CI-004,0000600RPM,CINTURON DE SEGURIDAD DELANTERO INERCIAL HOMOLOGADO 3 PUNTAS AUTO-CAMION (JUEGO) //ALB,UNIDADES,0,"77179,25",83000,116200,"51452,83",ACCESORIOS,NINGUNO
,0004068rpm,CINTURON DE SEGURIDAD TRASERO 2 PUNTOS (BOLSA/JGO.),UNIDADES,0,"6528,56",10780,15092,"4352,37",ACCESORIOS,NINGUNO
CI-002,7798160624831,CINTURON DE SEGURIDAD TRASERO HOMOLOGADO 2 PUNTAS AUTO-CAMION (JUEGO) //ALB,UNIDADES,0,"29827,71",32000,44800,"19885,14",ACCESORIOS,NINGUNO
3M80E,0006195RPM,CIRCULO LOGO DE MAXIMA REFLECTIVO 80/90/100/110,UNIDADES,0,"805,86",1309,"1832,6","435,6",ACCESORIOS,NINGUNO
20001,0006771RPM,CLAY CLUB TOXIC SHINE LUBRICANTE PARA CLAYBAR 600 ML,UNIDADES,5,"4922,76","5300,01","7420,01","3516,26",COSMETICA,NINGUNO
6084,51131060845,CLEAN AND SHINE (LIMPIO Y BRILLOSO) 3M CON GATILLO 473ML,UNIDADES,0,"260,57","1286,61","1801,25","148,05",COSMETICA,NINGUNO
TS1992119AL,0007461RPM,CLEAN STUFF TOXIC SHINE 360 GR AEROSOL,UNIDADES,1,"8808,8",9500,"13300,01",6292,ACCESORIOS,NINGUNO
TS0020600CV,0006757RPM,CLEAN VISION TOXIC SHINE LIMPIADOR DE VIDRIOS 600 ML,UNIDADES,1,"5759,6",6200,8680,4114,COSMETICA,NINGUNO
CLBAT100,0006402RPM,CLIP BATERIA 100 AMP,UNIDADES,1,"138,6","365,9","512,26","52,03",ELECTRICIDAD,NINGUNO
CLIP1,0007039RPM,CLIP HEBILLA ANTIALARMA PARA CINTURON UNIDAD,UNIDADES,9,1600,2000,"2800,02",600,ACCESORIOS,NINGUNO
CLIP2,0007410RPM,CLIP HEBILLA CARBONO ANTIALARMA PARA CINTURON UNIDAD,UNIDADES,0,"2021,25","2300,06","3220,04",1225,ACCESORIOS,NINGUNO
CURJ,0003317rpm,CLIP PARRILLA PARLANTE,,0,0,0,0,3,PARLANTES,NINGUNO
32422,0001117RPM,COBERTOR AMAROK C/D USADO,UNIDADES,0,174996,150000,210000,120000,EQUIPAMIENTO 4X4,NINGUNO
CBPVW11,0005978RPM,COBERTOR AMAROK ORIGINAL 10 > CAB.DOB S/PERFIL,UNIDADES,0,535000,550011,770000,385000,EQUIPAMIENTO 4X4,NINGUNO
COBERTOR TOYOTA/HILUX 05 > CAB,0000477RPM,COBERTOR HILUX 05 > CAB.DOB B/PERFIL,UNIDADES,0,355740,380000,532000,254100,EQUIPAMIENTO 4X4,NINGUNO
45484,0005055RPM,COBERTOR HILUX 16> C/D BAJO PERFIL,UNIDADES,0,355740,380000,532000,254100,ACCESORIOS,NINGUNO
COBERTOR RANGER 05/11 CAB.DOB,0000478RPM,COBERTOR RANGER 02/11 CAB.DOB BAJO PERFIL,UNIDADES,0,355740,380000,532000,254100,EQUIPAMIENTO 4X4,NINGUNO
CE-006,0000733RPM,COLA DE ESCAPE BOCA REDONDA,UNIDADES,2,"11207,5",13000,"18200,19","8005,36",ACCESORIOS,NINGUNO
CES42,0007310RPM,COLA DE ESCAPE BORDE QUEMADO,UNIDADES,1,"32815,2",35000,49000,"21876,8",ACCESORIOS,NINGUNO
3290,509,COLA DE ESCAPE COMBINADA LYF,UNIDADES,2,18150,19500,27300,12100,ACCESORIOS,NINGUNO
1511,0004436RPM,COLA DE ESCAPE CROMADA SALIDA DOBLE,UNIDADES,1,34485,37000,51800,22990,ACCESORIOS,NINGUNO
CES38,0007537RPM,COLA DE ESCAPE GRIS,UNIDADES,2,"14066,25","14999,99","20999,99",9075,ACCESORIOS,NINGUNO
CES35-B,0007538RPM,COLA DE ESCAPE NEGRA,UNIDADES,2,"13164,8",14000,19600,7744,ACCESORIOS,NINGUNO
5002,506,COLA DE ESCAPE TOTAL TUNE,UNIDADES,4,10200,11000,15400,6000,ACCESORIOS,NINGUNO
CE-009,1526,COLA DE ESCAPE UNIV. ALUMINIO COCA ANCHA SPIDER,UNIDADES,1,"12086,69","13999,84","19600,29","8633,35",ACCESORIOS,NINGUNO
CE-001,0003345RPM,COLA DE ESCAPE UNIVERSAL CROMADA,UNIDADES,-1,"7783,93","8899,81","12459,85","5559,95",ACCESORIOS,NINGUNO
CE-010,0003344RPM,COLA DE ESCAPE UNIVERSAL CROMADA FORCE,UNIDADES,4,"15305,29",17500,"24488,46","10932,35",ACCESORIOS,NINGUNO
CE-002,0000376RPM,COLA DE ESCAPE UNIVERSAL OVALADA TIPO TURBO,UNIDADES,0,"16465,68","18900,25","26460,35","11761,2",ACCESORIOS,NINGUNO
CE-007,0005525RPM,COLA DE ESCAPE UNIVERSAL SALIDA DOBLE CAÑO TIPO ABARTH,UNIDADES,2,"41592,78","46999,84","65799,78","29709,13",ACCESORIOS,NINGUNO
RC-001,0006226RPM,COLITA ESTATICA Y RUTERA,UNIDADES,0,"2809,62",3200,"4479,94","1560,9",ACCESORIOS,NINGUNO
JS-03202,0000503RPM,COLITA FIBRA OPTICA DE LUZ AZUL,,0,0,0,0,0,ACCESORIOS,NINGUNO
110,7790715000060,COLORIN PASTA DE PULIR FINA LATA 500 CC,UNIDADES,0,1400,2100,2940,800,COSMETICA,NINGUNO
VA-081,0006923RPM,COMPRESOR C/ MANOMETRO 260 PSI,UNIDADES,0,25410,30500,42700,12705,ACCESORIOS,NINGUNO
